Ref,Val,Package,PosX,PosY,Rot,Side
"C5","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",140.700000,-68.500000,90.000000,bottom
"C10","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",160.830000,-99.820000,-90.000000,bottom
"C12","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",147.375000,-99.425000,-90.000000,bottom
"C15","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",117.125000,-98.925000,-90.000000,bottom
"C17","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",130.125000,-99.525000,-90.000000,bottom
"R1","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",194.375000,-63.975000,90.000000,bottom
"R2","150","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",190.875000,-63.975000,90.000000,bottom
"R3","150","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",107.075000,-63.800000,90.000000,bottom
"R4","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",111.075000,-63.800000,90.000000,bottom
"R5","150","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",150.000000,-134.200000,90.000000,bottom
"R6","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",152.500000,-134.200000,-90.000000,bottom
"R7","1k5","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",154.100000,-77.500000,180.000000,bottom
"R8","1k5","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",153.250000,-74.362500,-90.000000,bottom
"R16","1k5","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",120.225000,-88.975000,0.000000,bottom
"U1","ITR8307","Everlight_ITR8307",192.925000,-59.375000,-90.000000,bottom
"U2","ITR8307","Everlight_ITR8307",109.925000,-59.375000,-90.000000,bottom
"U3","ITR8307","Everlight_ITR8307",151.000000,-139.700000,-90.000000,bottom
"U8","TB6612FNG","SSOP-24_5.3x8.2mm_P0.65mm",154.100000,-99.800000,90.000000,bottom
"U9","TB6612FNG","SSOP-24_5.3x8.2mm_P0.65mm",123.600000,-99.225000,90.000000,bottom
