"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"Q4,Q3";"DFN-8-1EP_3x3mm_P0.65mm_EP1.5x2.25mm";2;"AON7422G";;;
2;"C25,C5,C6,C7,C8,C9,C10,C12,C15,C17,C21,C22,C23,C24,C26,C27";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";16;"100n";;;
3;"J2";"USB_Micro-B_Amphenol_10118194-0001LF_Horizontal";1;"USB_B_Micro";;;
4;"TF4,TF1,TF3,TF2,J4";"PinHeader_2x03_P2.54mm_Vertical";5;"Conn_02x03_Top_Bottom";;;
5;"Sw_Pwr1,Batt_Pin1";"PinHeader_1x02_P2.54mm_Vertical";2;"Conn_01x02_Pin";;;
6;"J10";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03_Pin";;;
7;"C2,C11,C13,C14,C16,C18,C20,C28,C29";"CP_EIA-3528-12_Kemet-T_HandSolder";9;"10u";;;
8;"D1,D2";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"LED";;;
9;"FB1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"BLM21PG221SN1D";;;
10;"M1,M2";"PinSocket_1x02_P2.54mm_Vertical";2;"Conn_01x02_Pin";;;
11;"R1,R4,R6,R10";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"10k";;;
12;"R2,R3,R5";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"150";;;
13;"R7,R8,R9,R12,R13,R14,R15,R16,R17";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";9;"1k5";;;
14;"R11";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"100k";;;
15;"U8,U9";"SSOP-24_5.3x8.2mm_P0.65mm";2;"TB6612FNG";;;
16;"U2,U3,U1";"Everlight_ITR8307";3;"ITR8307";;;
17;"U7";"SOT-23-6_Handsoldering";1;"LM74700QDBVTQ1";;;
18;"U11";"SOT-223-3_TabPin2";1;"LD1117S33TR_SOT223";;;
19;"U6";"SOT-23-6_Handsoldering";1;"LM74700QDBVRQ1";;;
20;"U4";"LQFP-48_7x7mm_P0.5mm";1;"STM32G431CBT6";;;
