"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C16,C29,C2,C20,C13,C28,C14,C11,C18";"CP_EIA-3528-12_Kemet-T_HandSolder";9;"10u";;;
2;"C7,C9,C27,C6,C8,C24,C23,C25,C26,C22,C21,C12,C17,C5,C15,C10";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";16;"100n";;;
3;"Q4,Q3";"DFN-8-1EP_3x3mm_P0.65mm_EP1.5x2.25mm";2;"AON7422G";;;
4;"M2,M1";"PinSocket_1x02_P2.54mm_Vertical";2;"Conn_01x02_Pin";;;
5;"R14,R17,R12,R15,R9,R13,R16,R8,R7";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";9;"1k5";;;
6;"U4";"LQFP-48_7x7mm_P0.5mm";1;"STM32G431CBT6";;;
7;"FB1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"BLM21PG221SN1D";;;
8;"TF2,J4,TF1,TF4,TF3";"PinHeader_2x03_P2.54mm_Vertical";5;"Conn_02x03_Top_Bottom";;;
9;"U6";"SOT-23-6_Handsoldering";1;"LM74700QDBVRQ1";;;
10;"D1,D2";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"LED";;;
11;"Sw_Pwr1,Batt_Pin1";"PinHeader_1x02_P2.54mm_Vertical";2;"Conn_01x02_Pin";;;
12;"R10,R4,R6,R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"10k";;;
13;"R11";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"100k";;;
14;"U11";"SOT-223-3_TabPin2";1;"LD1117S33TR_SOT223";;;
15;"J2";"USB_Micro-B_Amphenol_10118194-0001LF_Horizontal";1;"USB_B_Micro";;;
16;"U7";"SOT-23-6_Handsoldering";1;"LM74700QDBVTQ1";;;
17;"J10";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03_Pin";;;
18;"U1,U3,U2";"Everlight_ITR8307";3;"ITR8307";;;
19;"U9,U8";"SSOP-24_5.3x8.2mm_P0.65mm";2;"TB6612FNG";;;
20;"R5,R2,R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"150";;;
